2025-07-02 08:35:01 | ERROR | ！！！账户状态异常！！！
2025-07-02 08:35:06 | ERROR | ！！！账户状态异常！！！
2025-07-02 08:35:06 | ERROR | ！！！账户状态异常！！！
2025-07-02 08:45:25 | ERROR | ！！！账户状态异常！！！
2025-07-02 08:45:28 | ERROR | ！！！账户状态异常！！！
2025-07-02 10:24:34 | ERROR | 账户状态异常
2025-07-02 10:52:03 | ERROR | 系统异常: invalid stock_code, meta:1, market:
2025-07-02 11:05:45 | ERROR | 交易连接失败，错误码: -1
2025-07-02 11:18:41 | ERROR | 账户状态异常
2025-07-02 11:23:35 | ERROR | 账户状态异常
2025-07-02 12:16:19 | ERROR | 账户状态异常
2025-07-02 12:16:29 | ERROR | 账户状态异常
2025-07-02 12:16:29 | ERROR | 账户状态异常
2025-07-02 12:19:03 | ERROR | 账户状态异常
2025-07-02 12:22:11 | ERROR | 账户状态异常
2025-07-02 13:11:29 | ERROR | 账户状态异常
